entry_time,exit_time,side,mode,entry,exit,pnl,reason
2025-12-02 20:29:44.496959,2025-10-04 04:40:00,LONG,SCALP_BB,288.76,284.4286,-3.7509923999999772,STOP_LOSS
2025-12-02 20:29:44.501579,2025-10-04 04:41:00,SHORT,TREND_FOLLOWING,288.41,284.08385000000004,7.501544099999973,TAKE_PROFIT
2025-12-02 20:29:44.563510,2025-10-05 00:47:00,SHORT,TREND_FOLLOWING,284.21,289.89419999999996,-10.038297199999958,STOP_LOSS
2025-12-02 20:29:44.760775,2025-10-05 13:52:00,LONG,SCALP_BB,290.89,286.52664999999996,-3.726300900000022,STOP_LOSS
2025-12-02 20:29:44.717177,2025-10-05 14:12:00,LONG,TREND_FOLLOWING,291.6,285.76800000000003,-9.93772799999999,STOP_LOSS
2025-12-02 20:29:44.834100,2025-10-06 08:16:00,SHORT,TREND_FOLLOWING,287.14,292.8828,-9.80295959999998,STOP_LOSS
2025-12-02 20:29:44.976905,2025-10-06 10:32:00,LONG,TREND_FOLLOWING,293.67,298.07505,7.277142599999934,TAKE_PROFIT
2025-12-02 20:29:44.993423,2025-10-07 03:41:00,LONG,TREND_FOLLOWING,297.28,291.33439999999996,-9.77456640000002,STOP_LOSS
2025-12-02 20:29:45.191053,2025-10-07 09:45:00,SHORT,SCALP_BB,292.07,287.68895,3.627509400000013,TAKE_PROFIT
2025-12-02 20:29:45.143630,2025-10-07 10:03:00,SHORT,TREND_FOLLOWING,291.51,287.13734999999997,7.258599000000035,TAKE_PROFIT
2025-12-02 20:29:45.195858,2025-10-07 10:41:00,SHORT,TREND_FOLLOWING,287.05,282.74425,7.341303749999982,TAKE_PROFIT
2025-12-02 20:29:45.201041,2025-10-07 11:07:00,SHORT,TREND_FOLLOWING,283.44,279.1884,7.393532399999994,TAKE_PROFIT
2025-12-02 20:29:45.237923,2025-10-07 15:15:00,SHORT,SNIPER_FVG,277.3,277.3,0.0,STOP_LOSS
2025-12-02 20:29:45.241110,2025-10-07 15:49:00,SHORT,SNIPER_FVG,277.12,277.3,-0.48384000000001837,STOP_LOSS
2025-12-02 20:29:45.243674,2025-10-07 16:01:00,SHORT,SNIPER_FVG,277.24,277.3,-0.1611600000000061,STOP_LOSS
2025-12-02 20:29:45.260704,2025-10-07 17:58:00,SHORT,SNIPER_FVG,277.07,277.3,-0.6180100000000488,STOP_LOSS
2025-12-02 20:29:45.261607,2025-10-07 18:16:00,SHORT,SNIPER_FVG,277.04,277.3,-0.6983599999999756,STOP_LOSS
2025-12-02 20:29:45.268872,2025-10-07 18:54:00,SHORT,SNIPER_FVG,277.3,277.3,0.0,STOP_LOSS
2025-12-02 20:29:45.204531,2025-10-07 19:42:00,SHORT,TREND_FOLLOWING,279.98,275.7803,7.450267800000013,TAKE_PROFIT
2025-12-02 20:29:45.271202,2025-10-07 20:40:00,SHORT,SNIPER_FVG,277.02,277.3,-0.7515200000000793,STOP_LOSS
2025-12-02 20:29:45.216178,2025-10-07 23:40:00,SHORT,SCALP_BB,279.24,275.0514,3.7236654000000073,TAKE_PROFIT
2025-12-02 20:29:45.307100,2025-10-08 00:33:00,SHORT,SNIPER_FVG,277.05,277.3,-0.6755,STOP_LOSS
2025-12-02 20:29:45.319809,2025-10-08 02:11:00,SHORT,SNIPER_FVG,276.8,277.3,-1.3565,STOP_LOSS
2025-12-02 20:29:45.338699,2025-10-08 03:04:00,SHORT,SNIPER_FVG,276.63,277.3,-1.8163700000000431,STOP_LOSS
2025-12-02 20:29:45.342888,2025-10-08 03:43:00,SHORT,SNIPER_FVG,277.25,277.3,-0.1350000000000307,STOP_LOSS
2025-12-02 20:29:45.348710,2025-10-08 03:47:00,SHORT,SNIPER_FVG,277.14,277.3,-0.43200000000006755,STOP_LOSS
2025-12-02 20:29:45.277826,2025-10-08 10:01:00,SHORT,TREND_FOLLOWING,276.16,281.6832,-9.985945599999955,STOP_LOSS
2025-12-02 20:29:45.384978,2025-10-08 10:19:00,LONG,SCALP_BB,279.39,283.58084999999994,3.7382381999999597,TAKE_PROFIT
2025-12-02 20:29:45.411919,2025-10-08 12:01:00,LONG,SCALP_BB,282.12,277.8882,-3.7155204000000186,STOP_LOSS
2025-12-02 20:29:45.408995,2025-10-08 18:22:00,LONG,TREND_FOLLOWING,282.66,286.8999,7.4071052999999605,TAKE_PROFIT
2025-12-02 20:29:45.485446,2025-10-08 22:35:00,LONG,TREND_FOLLOWING,286.94,281.2012,-9.951079200000045,STOP_LOSS
2025-12-02 20:29:45.449166,2025-10-08 22:42:00,LONG,SCALP_BB,283.98,279.7203,-3.7016793000000083,STOP_LOSS
2025-12-02 20:29:45.579819,2025-10-09 04:21:00,SHORT,SNIPER_FVG,277.26,277.3,-0.10616000000005431,STOP_LOSS
2025-12-02 20:29:45.533444,2025-10-09 04:22:00,SHORT,TREND_FOLLOWING,281.21,276.99185,7.360671749999966,TAKE_PROFIT
2025-12-02 20:29:45.580021,2025-10-09 08:51:00,SHORT,SNIPER_FVG,277.3,273.14050000000003,11.039312999999947,TAKE_PROFIT
2025-12-02 20:29:45.625462,2025-10-09 10:30:00,SHORT,SNIPER_FVG,275.99,271.85015,11.243832600000067,TAKE_PROFIT
2025-12-02 20:29:45.583836,2025-10-09 10:35:00,SHORT,TREND_FOLLOWING,275.07,270.94395,7.414511850000037,TAKE_PROFIT
2025-12-02 20:29:45.648021,2025-10-09 12:59:00,SHORT,TREND_FOLLOWING,273.33,269.23005,7.63820684999996,TAKE_PROFIT
2025-12-02 20:29:45.642018,2025-10-09 18:29:00,SHORT,SNIPER_FVG,271.32,273.92,-7.316400000000064,STOP_LOSS
2025-12-02 20:29:45.720286,2025-10-09 18:30:00,SHORT,SNIPER_FVG,273.92,273.92,0.0,STOP_LOSS
2025-12-02 20:29:45.665258,2025-10-09 18:43:00,SHORT,TREND_FOLLOWING,269.3,274.68600000000004,-10.260330000000046,STOP_LOSS
2025-12-02 20:29:45.720465,2025-10-09 23:32:00,SHORT,SNIPER_FVG,274.04,277.3,-9.085619999999974,STOP_LOSS
2025-12-02 20:29:45.726245,2025-10-09 23:33:00,LONG,SCALP_BB,273.87,277.97805,3.7794059999999923,TAKE_PROFIT
2025-12-02 20:29:45.731434,2025-10-09 23:37:00,SHORT,TREND_FOLLOWING,273.08,278.54159999999996,-10.082113599999955,STOP_LOSS
2025-12-02 20:29:45.784869,2025-10-10 00:06:00,SHORT,SNIPER_FVG,277.21,277.3,-0.2417400000000855,STOP_LOSS
2025-12-02 20:29:45.785913,2025-10-10 00:13:00,SHORT,SNIPER_FVG,277.24,277.3,-0.1611000000000061,STOP_LOSS
2025-12-02 20:29:45.790202,2025-10-10 01:54:00,SHORT,SNIPER_FVG,276.7,277.3,-1.6140000000000612,STOP_LOSS
2025-12-02 20:29:45.804811,2025-10-10 01:56:00,SHORT,SNIPER_FVG,277.29,277.3,-0.026799999999975628,STOP_LOSS
2025-12-02 20:29:45.782143,2025-10-10 03:58:00,LONG,TREND_FOLLOWING,279.19,273.6062,-9.927996399999994,STOP_LOSS
2025-12-02 20:29:45.810556,2025-10-10 07:03:00,SHORT,SNIPER_FVG,275.78,277.3,-4.096400000000104,STOP_LOSS
2025-12-02 20:29:45.858130,2025-10-10 07:51:00,SHORT,SNIPER_FVG,276.26,277.3,-2.7580800000000543,STOP_LOSS
2025-12-02 20:29:45.867171,2025-10-10 08:33:00,SHORT,SNIPER_FVG,277.02,277.3,-0.738360000000078,STOP_LOSS
2025-12-02 20:29:45.870252,2025-10-10 08:51:00,SHORT,SNIPER_FVG,276.91,277.3,-1.028039999999964,STOP_LOSS
2025-12-02 20:29:45.796066,2025-10-10 09:39:00,LONG,SCALP_BB,274.79,278.91185,3.7220305499999955,TAKE_PROFIT
2025-12-02 20:29:45.824452,2025-10-10 09:39:00,SHORT,TREND_FOLLOWING,273.54,279.0108,-9.809144399999994,STOP_LOSS
2025-12-02 20:29:45.879954,2025-10-10 11:00:00,LONG,TREND_FOLLOWING,279.15,273.56699999999995,-9.664173000000046,STOP_LOSS
2025-12-02 20:29:45.886165,2025-10-10 11:00:00,LONG,SCALP_BB,277.62,273.4557,-3.622941000000022,STOP_LOSS
2025-12-02 20:29:45.888529,2025-10-10 11:01:00,SHORT,SNIPER_FVG,276.84,272.68739999999997,10.867354200000017,TAKE_PROFIT
2025-12-02 20:29:45.895472,2025-10-10 11:24:00,SHORT,SNIPER_FVG,272.37,268.28445,10.843049700000032,TAKE_PROFIT
2025-12-02 20:29:45.896981,2025-10-10 11:30:00,SHORT,TREND_FOLLOWING,270.04,265.9894,7.226270400000056,TAKE_PROFIT
2025-12-02 20:29:45.899498,2025-10-10 14:47:00,SHORT,TREND_FOLLOWING,265.17,261.19245,7.362445050000015,TAKE_PROFIT
2025-12-02 20:29:45.930764,2025-10-10 15:29:00,SHORT,TREND_FOLLOWING,261.39,257.46914999999996,7.418248200000056,TAKE_PROFIT
2025-12-02 20:29:45.937737,2025-10-10 16:55:00,SHORT,TREND_FOLLOWING,256.46,252.61309999999997,7.47452670000001,TAKE_PROFIT
2025-12-02 20:29:45.952523,2025-10-10 17:12:00,SHORT,TREND_FOLLOWING,246.58,242.8813,7.530553200000005,TAKE_PROFIT
2025-12-02 20:29:45.954536,2025-10-10 17:25:00,SHORT,TREND_FOLLOWING,173.83,171.22255,7.5876795,TAKE_PROFIT
2025-12-02 20:29:45.955067,2025-10-10 17:27:00,SHORT,TREND_FOLLOWING,168.05,171.411,-10.19055199999997,STOP_LOSS
2025-12-02 20:29:45.955422,2025-10-10 17:32:00,SHORT,TREND_FOLLOWING,171.61,175.0422,-10.090667999999983,STOP_LOSS
2025-12-02 20:29:45.956271,2025-10-10 17:34:00,SHORT,TREND_FOLLOWING,175.19,178.6938,-9.989333800000036,STOP_LOSS
2025-12-02 20:29:45.956787,2025-10-10 17:36:00,SHORT,SNIPER_FVG,183.65,185.05,-5.6546000000000225,STOP_LOSS
2025-12-02 20:29:45.958113,2025-10-10 17:44:00,SHORT,SNIPER_FVG,204.96,207.35,-8.599219999999951,STOP_LOSS
2025-12-02 20:29:45.958424,2025-10-10 17:46:00,SHORT,SNIPER_FVG,209.1,211.88,-9.718880000000004,STOP_LOSS
2025-12-02 20:29:45.958749,2025-10-10 17:49:00,SHORT,SNIPER_FVG,210.23,211.88,-5.67930000000002,STOP_LOSS
2025-12-02 20:29:45.959372,2025-10-10 17:53:00,SHORT,SNIPER_FVG,221.79,218.46314999999998,10.792301400000024,TAKE_PROFIT
2025-12-02 20:29:45.960740,2025-10-10 18:03:00,SHORT,TREND_FOLLOWING,215.92,212.6812,7.274344799999994,TAKE_PROFIT
2025-12-02 20:29:45.961312,2025-10-10 18:10:00,SHORT,TREND_FOLLOWING,211.47,215.6994,-9.774143399999996,STOP_LOSS
2025-12-02 20:29:45.963424,2025-10-10 18:21:00,SHORT,SNIPER_FVG,220.0,216.7,10.883400000000037,TAKE_PROFIT
2025-12-02 20:29:45.962485,2025-10-10 18:23:00,SHORT,TREND_FOLLOWING,217.02,213.7647,7.256063700000013,TAKE_PROFIT
2025-12-02 20:29:45.964647,2025-10-10 18:27:00,SHORT,TREND_FOLLOWING,213.18,209.9823,7.393082399999994,TAKE_PROFIT
2025-12-02 20:29:45.968692,2025-10-10 19:23:00,SHORT,SNIPER_FVG,219.76,224.95,-17.58890999999999,STOP_LOSS
2025-12-02 20:29:45.975438,2025-10-10 19:26:00,SHORT,SNIPER_FVG,225.02,226.48,-4.746459999999933,STOP_LOSS
2025-12-02 20:29:45.976112,2025-10-10 19:34:00,SHORT,SNIPER_FVG,227.21,229.06,-5.927399999999982,STOP_LOSS
2025-12-02 20:29:45.982310,2025-10-10 20:09:00,SHORT,SNIPER_FVG,227.58,229.06,-4.7063999999999675,STOP_LOSS
2025-12-02 20:29:45.983882,2025-10-10 20:17:00,SHORT,SNIPER_FVG,228.42,224.9937,10.799697599999993,TAKE_PROFIT
2025-12-02 20:29:45.987029,2025-10-10 20:37:00,SHORT,SNIPER_FVG,225.95,226.48,-1.7081900000000036,STOP_LOSS
2025-12-02 20:29:45.989096,2025-10-10 20:40:00,SHORT,SNIPER_FVG,226.34,226.48,-0.4496799999999562,STOP_LOSS
2025-12-02 20:29:45.990405,2025-10-10 20:48:00,SHORT,SNIPER_FVG,227.79,229.06,-4.051300000000032,STOP_LOSS
2025-12-02 20:29:45.992424,2025-10-10 21:05:00,SHORT,SNIPER_FVG,229.06,225.6241,10.85400810000001,TAKE_PROFIT
2025-12-02 20:29:45.995857,2025-10-10 21:22:00,SHORT,SNIPER_FVG,225.7,222.31449999999998,10.975791000000024,TAKE_PROFIT
2025-12-02 20:29:46.000194,2025-10-10 21:54:00,SHORT,SNIPER_FVG,221.78,218.45329999999998,11.097871200000055,TAKE_PROFIT
2025-12-02 20:29:46.001778,2025-10-10 21:54:00,SHORT,TREND_FOLLOWING,221.06,217.7441,7.397772899999998,TAKE_PROFIT
2025-12-02 20:29:46.004366,2025-10-10 22:07:00,SHORT,TREND_FOLLOWING,218.72,223.0944,-10.05237120000002,STOP_LOSS
2025-12-02 20:29:46.005646,2025-10-10 22:20:00,SHORT,SNIPER_FVG,220.74,226.48,-19.602099999999933,STOP_LOSS
2025-12-02 20:29:46.009506,2025-10-10 22:25:00,SHORT,SNIPER_FVG,227.09,229.06,-6.345369999999996,STOP_LOSS
2025-12-02 20:29:46.016166,2025-10-10 23:10:00,LONG,SCALP_BB,232.13,228.64804999999998,-3.6351558000000126,STOP_LOSS
2025-12-02 20:29:46.018868,2025-10-10 23:22:00,SHORT,SNIPER_FVG,226.22,226.48,-0.8322599999999709,STOP_LOSS
2025-12-02 20:29:46.019391,2025-10-11 00:12:00,SHORT,SNIPER_FVG,227.11,229.06,-6.210749999999964,STOP_LOSS
2025-12-02 20:29:46.020593,2025-10-11 00:43:00,SHORT,TREND_FOLLOWING,226.79,231.3258,-9.647646599999987,STOP_LOSS
2025-12-02 20:29:46.065171,2025-10-11 04:45:00,SHORT,TREND_FOLLOWING,232.06,236.7012,-9.486612799999996,STOP_LOSS
2025-12-02 20:29:46.070532,2025-10-11 04:45:00,SHORT,SCALP_BB,233.17,236.66754999999998,-3.557008349999989,STOP_LOSS
2025-12-02 20:29:46.078434,2025-10-11 05:10:00,SHORT,SNIPER_FVG,240.17,240.5,-0.9642600000000366,STOP_LOSS
2025-12-02 20:29:46.082133,2025-10-11 05:34:00,SHORT,SNIPER_FVG,240.4,240.5,-0.29159999999998343,STOP_LOSS
2025-12-02 20:29:46.084412,2025-10-11 06:06:00,SHORT,SNIPER_FVG,240.47,240.5,-0.08742000000000331,STOP_LOSS
2025-12-02 20:29:46.078115,2025-10-11 06:21:00,LONG,TREND_FOLLOWING,239.16,242.74739999999997,7.016954399999949,TAKE_PROFIT
2025-12-02 20:29:46.085174,2025-10-11 06:21:00,LONG,SCALP_BB,239.15,242.73725,3.5047432499999833,TAKE_PROFIT
2025-12-02 20:29:46.090331,2025-10-11 07:18:00,LONG,TREND_FOLLOWING,242.56,237.7088,-9.45013760000001,STOP_LOSS
2025-12-02 20:29:46.093294,2025-10-11 07:18:00,LONG,SCALP_BB,241.39,237.76915,-3.54481214999999,STOP_LOSS
2025-12-02 20:29:46.100175,2025-10-11 07:50:00,SHORT,SNIPER_FVG,239.53,240.5,-2.830459999999997,STOP_LOSS
2025-12-02 20:29:46.107411,2025-10-11 09:03:00,LONG,TREND_FOLLOWING,241.02,236.1996,-9.288910800000012,STOP_LOSS
2025-12-02 20:29:46.148912,2025-10-11 12:11:00,SHORT,SNIPER_FVG,240.02,240.5,-1.3795199999999705,STOP_LOSS
2025-12-02 20:29:46.151320,2025-10-11 12:24:00,SHORT,SNIPER_FVG,240.24,240.5,-0.7454199999999739,STOP_LOSS
2025-12-02 20:29:46.117604,2025-10-11 12:25:00,SHORT,TREND_FOLLOWING,236.19,240.9138,-9.197238600000022,STOP_LOSS
2025-12-02 20:29:46.156076,2025-10-11 12:52:00,SHORT,SNIPER_FVG,240.32,240.5,-0.5103000000000193,STOP_LOSS
2025-12-02 20:29:46.157448,2025-10-11 12:59:00,SHORT,SNIPER_FVG,240.46,240.5,-0.11327999999997745,STOP_LOSS
