Fecha_Hora,Estrategia,Tipo,Precio_Entrada,Cantidad,Monto_USDT,Precio_Salida,PnL_USDT,Motivo_Cierre,Proteccion_Validada,Trailing_Activado,Max_Exposure,Estado_Final
2025-11-28 05:19:31,MOMENTUM,LONG,187.5600,2.1,393.88,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 05:24:41,MOMENTUM,LONG,187.5600,2.1,393.88,187.5700,0.0210,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-28 05:30:35,SCALP,SHORT,187.2600,0.5,93.63,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 05:50:36,SCALP,SHORT,187.1200,0.5,93.56,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 05:51:17,SCALP,SHORT,187.1700,0.5,93.58,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 05:52:08,SCALP,SHORT,187.2100,0.5,93.61,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 05:53:37,SCALP,SHORT,187.3100,0.5,93.66,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 06:30:53,MANUAL_RESCUE,SHORT,186.7700,2.5,466.93,186.6700,0.2500,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-28 07:20:26,RECOVERED,SHORT,187.2850,5.0,936.43,185.7800,7.5250,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-28 10:26:10,SCALP,SHORT,186.9400,0.5,93.47,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 10:27:37,SCALP,SHORT,187.0900,0.5,93.55,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 10:28:59,SCALP,SHORT,187.2800,0.5,93.64,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 10:32:25,MANUAL_RESCUE,SHORT,187.1033,1.5,280.65,186.4000,1.0550,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-28 11:32:11,SCALP,SHORT,186.6000,0.5,93.30,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 11:34:15,SCALP,SHORT,186.7600,0.5,93.38,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 11:35:05,SCALP,SHORT,186.8400,0.5,93.42,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 11:44:58,MANUAL_RESCUE,SHORT,186.7333,1.5,280.10,186.2200,0.7700,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-28 15:35:16,SCALP,LONG,186.0500,0.5,93.02,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 15:39:13,SCALP,LONG,186.0500,0.5,93.02,186.5100,0.2300,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-28 15:40:53,SCALP,SHORT,186.4300,0.5,93.22,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 15:50:19,SCALP,SHORT,186.4300,0.5,93.22,186.1700,0.1300,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-28 16:28:05,SCALP,SHORT,186.6300,0.5,93.32,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 16:58:54,SCALP,SHORT,186.6300,0.5,93.32,186.5700,0.0300,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-28 16:59:04,SCALP,SHORT,186.6200,0.5,93.31,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 17:01:07,SCALP,SHORT,186.6400,0.5,93.32,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 17:06:17,SCALP,SHORT,186.6500,0.5,93.33,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 17:42:09,MANUAL_RESCUE,SHORT,186.5940,2.5,466.49,185.8300,1.9100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-28 18:11:19,SCALP,SHORT,185.1800,0.5,92.59,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 18:12:51,SCALP,SHORT,185.2300,0.5,92.62,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 18:13:20,SCALP,SHORT,185.3800,0.5,92.69,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-28 18:13:34,MANUAL_RESCUE,LONG,185.05,0.2,37.064,185.32,0,TP_MID,SI,SI,0,PARTIAL
2025-11-28 18:13:53,MANUAL_RESCUE,LONG,185.05,0.1,18.525000000000002,185.25,0,TP_MID,SI,SI,0,PARTIAL
2025-11-28 18:16:42,MANUAL_RESCUE,LONG,185.0500,0.1,18.51,185.2600,0.0210,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-29 10:42:21,SCALP,SHORT,182.6200,0.5,91.31,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 10:43:57,SCALP,SHORT,182.6200,0.5,91.31,182.5800,0.0200,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-29 10:49:12,SCALP,SHORT,183.1400,0.5,91.57,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 10:49:57,SCALP,SHORT,183.2100,0.5,91.61,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 10:53:00,SCALP,SHORT,183.2100,0.5,91.61,182.7900,0.2100,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-29 11:18:53,SCALP,SHORT,183.7400,0.5,91.87,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 11:19:29,SCALP,SHORT,184.0100,0.5,92.01,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 11:19:57,SCALP,SHORT,184.0900,0.5,92.05,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 11:45:20,SCALP,SHORT,183.9467,1.5,275.92,183.6300,0.4750,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 11:45:20,SCALP,SHORT,183.9467,1.5,275.92,183.6300,0.4750,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-29 12:13:20,RECOVERED,SHORT,183.9569,1.3,239.14,183.6100,0.4510,PANIC_USER,SI,SI,5000.0,CLOSED
2025-11-29 12:15:03,MANUAL,SHORT,183.4700,0.5,91.73,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 12:15:05,MANUAL,SHORT,183.4700,0.5,91.73,183.3800,0.0450,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:13:36,MANUAL,LONG,182.5200,0.5,91.26,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:13:38,MANUAL,LONG,182.5200,0.5,91.26,182.5300,0.0050,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:13:59,MANUAL,LONG,182.4900,0.5,91.24,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:14:01,MANUAL,LONG,182.4900,0.5,91.24,182.5000,0.0050,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:14:16,MANUAL,LONG,182.5500,0.5,91.27,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:14:17,MANUAL,LONG,182.5500,0.5,91.27,182.5700,0.0100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:14:31,MANUAL,LONG,182.5100,0.5,91.25,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:14:33,MANUAL,LONG,182.5100,0.5,91.25,182.5300,0.0100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:18:04,MANUAL,LONG,182.3800,0.5,91.19,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:18:06,MANUAL,LONG,182.3800,0.5,91.19,182.5900,0.1050,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:37:51,MANUAL,LONG,182.2200,0.5,91.11,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:37:52,MANUAL,LONG,182.2200,0.5,91.11,182.2800,0.0300,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:38:02,MANUAL,LONG,182.2600,0.5,91.13,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:38:04,MANUAL,LONG,182.2600,0.5,91.13,182.2800,0.0100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:38:40,MANUAL,LONG,182.2900,0.5,91.14,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:38:41,MANUAL,LONG,182.2900,0.5,91.14,182.2400,-0.0250,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:39:00,MANUAL,LONG,182.1900,0.5,91.09,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:39:02,MANUAL,LONG,182.1900,0.5,91.09,182.2300,0.0200,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:39:14,MANUAL,LONG,182.2200,0.5,91.11,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:39:17,MANUAL,LONG,182.2200,0.5,91.11,182.2500,0.0150,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:53:06,MANUAL,SHORT,182.4300,0.5,91.22,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:53:09,MANUAL,SHORT,182.4300,0.5,91.22,182.4100,0.0100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:53:55,MANUAL,LONG,182.5100,0.5,91.25,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:53:57,MANUAL,LONG,182.5100,0.5,91.25,182.5300,0.0100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:54:05,MANUAL,SHORT,182.5500,0.5,91.28,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:54:07,MANUAL,SHORT,182.5500,0.5,91.28,182.5300,0.0100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:54:20,MANUAL,LONG,182.5100,0.5,91.25,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:54:23,MANUAL,LONG,182.5100,0.5,91.25,182.5300,0.0100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:54:42,MANUAL,LONG,182.5200,0.5,91.26,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:54:43,MANUAL,LONG,182.5200,0.5,91.26,182.5500,0.0150,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:54:51,MANUAL,LONG,182.5300,0.5,91.27,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:54:54,MANUAL,LONG,182.5300,0.5,91.27,182.5500,0.0100,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 15:55:12,MANUAL,SHORT,182.6200,0.5,91.31,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 15:55:13,MANUAL,SHORT,182.6200,0.5,91.31,182.6100,0.0050,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 16:15:53,MANUAL,SHORT,182.3800,2.6,474.19,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 16:15:55,MANUAL,SHORT,182.3800,2.6,474.19,182.3200,0.1560,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 18:23:32,MANUAL,SHORT,182.0300,2.7,491.48,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 18:23:33,MANUAL,SHORT,182.0300,2.7,491.48,182.0100,0.0540,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 18:25:34,MANUAL,LONG,182.0200,2.7,491.45,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 18:25:36,MANUAL,LONG,182.0200,2.7,491.45,182.0800,0.1620,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 18:59:07,MANUAL,SHORT,181.6800,2.7,490.54,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 18:59:12,MANUAL,SHORT,181.6800,2.7,490.54,181.6600,0.0540,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 19:01:01,MANUAL,SHORT,181.7000,2.7,490.59,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:01:07,MANUAL,SHORT,181.7000,2.7,490.59,181.6500,0.1350,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 19:01:29,MANUAL,SHORT,181.6600,2.7,490.48,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:01:34,MANUAL,SHORT,181.6600,2.7,490.48,181.6400,0.0540,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 19:02:03,MANUAL,SHORT,181.6200,2.7,490.37,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:02:09,MANUAL,SHORT,181.6200,2.7,490.37,181.6000,0.0540,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 19:23:02,MANUAL,LONG,181.9600,2.7,491.29,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:24:25,MANUAL,LONG,182.1300,2.7,491.75,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:26:00,MANUAL,LONG,182.2700,2.7,492.13,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:26:37,MANUAL,LONG,182.2700,2.7,492.13,182.3900,0.3240,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 19:26:48,MANUAL,SHORT,182.3600,2.7,492.37,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:27:16,MANUAL,SHORT,182.3600,2.7,492.37,182.3300,0.0810,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 19:28:00,MANUAL,SHORT,182.2700,2.7,492.13,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:29:30,MANUAL,SHORT,182.1700,2.7,491.86,0,0,APERTURA,SI,NO,5000.0,OPEN
2025-11-29 19:30:35,MANUAL,SHORT,182.1700,2.7,491.86,182.0700,0.2700,TP/SL_BINANCE,SI,SI,5000.0,CLOSED
2025-11-29 19:30:40,MANUAL,LONG,182.0700,2.7,491.59,0,0,APERTURA,SI,NO,5000.0,OPEN
