Symbol,Timeframe,Type,Top,Bottom,Created_At,Gap_Size_Pct
AAVEUSDT,1h,LONG,167.88,166.94,2025-12-01 21:00:00,0.56
AAVEUSDT,1h,LONG,166.63,164.33,2025-12-01 20:00:00,1.38
AAVEUSDT,1h,SHORT,179.12,178.67,2025-11-30 23:00:00,0.25
AAVEUSDT,4h,SHORT,179.17,178.67,2025-11-30 20:00:00,0.28
AAVEUSDT,1h,SHORT,185.05,182.7,2025-11-30 10:00:00,1.29
AAVEUSDT,1d,SHORT,181.33,178.67,2025-11-30 00:00:00,1.5
AAVEUSDT,1h,SHORT,194.56,192.96,2025-11-14 03:00:00,0.83
AAVEUSDT,1h,SHORT,207.35,204.6,2025-11-13 16:00:00,1.34
AAVEUSDT,4h,SHORT,207.35,201.51,2025-11-13 16:00:00,3.04
AAVEUSDT,4h,SHORT,211.88,208.2,2025-11-13 12:00:00,1.77
AAVEUSDT,1d,SHORT,202.96,199.21,2025-11-13 00:00:00,1.89
AAVEUSDT,1h,SHORT,226.48,220.52,2025-11-11 05:00:00,2.72
AAVEUSDT,1h,SHORT,229.06,226.97,2025-11-11 04:00:00,0.92
AAVEUSDT,4h,SHORT,224.95,219.7,2025-11-11 04:00:00,2.42
AAVEUSDT,1h,SHORT,240.5,239.46,2025-10-27 19:00:00,0.44
AAVEUSDT,1h,SHORT,244.92,244.64,2025-10-27 07:00:00,0.11
AAVEUSDT,1h,SHORT,252.61,251.16,2025-10-15 12:00:00,0.58
AAVEUSDT,1h,SHORT,255.61,255.3,2025-10-15 10:00:00,0.12
AAVEUSDT,1h,SHORT,273.92,267.32,2025-10-10 15:00:00,2.5
AAVEUSDT,1h,SHORT,277.3,273.92,2025-10-10 14:00:00,1.23
AAVEUSDT,4h,SHORT,273.44,267.32,2025-10-10 12:00:00,2.32
