Timeframe,Event_Type,Trigger_Time,Refined_Time,Refined_Price,Trend_Context,T-3_close,T-3_RSI,T-3_STOCH_RSI,T-3_ADX,T-3_EMA_7,T-3_EMA_25,T-3_EMA_99,T-3_EMA_200,T-3_MACD_DIF,T-3_MACD_DEA,T-3_MACD_HIST,T-3_BB_UPPER,T-3_BB_LOWER,T-2_close,T-2_RSI,T-2_STOCH_RSI,T-2_ADX,T-2_EMA_7,T-2_EMA_25,T-2_EMA_99,T-2_EMA_200,T-2_MACD_DIF,T-2_MACD_DEA,T-2_MACD_HIST,T-2_BB_UPPER,T-2_BB_LOWER,T-1_close,T-1_RSI,T-1_STOCH_RSI,T-1_ADX,T-1_EMA_7,T-1_EMA_25,T-1_EMA_99,T-1_EMA_200,T-1_MACD_DIF,T-1_MACD_DEA,T-1_MACD_HIST,T-1_BB_UPPER,T-1_BB_LOWER,T0_close,T0_RSI,T0_STOCH_RSI,T0_ADX,T0_EMA_7,T0_EMA_25,T0_EMA_99,T0_EMA_200,T0_MACD_DIF,T0_MACD_DEA,T0_MACD_HIST,T0_BB_UPPER,T0_BB_LOWER,T1_close,T1_RSI,T1_STOCH_RSI,T1_ADX,T1_EMA_7,T1_EMA_25,T1_EMA_99,T1_EMA_200,T1_MACD_DIF,T1_MACD_DEA,T1_MACD_HIST,T1_BB_UPPER,T1_BB_LOWER,T2_close,T2_RSI,T2_STOCH_RSI,T2_ADX,T2_EMA_7,T2_EMA_25,T2_EMA_99,T2_EMA_200,T2_MACD_DIF,T2_MACD_DEA,T2_MACD_HIST,T2_BB_UPPER,T2_BB_LOWER,T3_close,T3_RSI,T3_STOCH_RSI,T3_ADX,T3_EMA_7,T3_EMA_25,T3_EMA_99,T3_EMA_200,T3_MACD_DIF,T3_MACD_DEA,T3_MACD_HIST,T3_BB_UPPER,T3_BB_LOWER
5m,CROSS_BULL,2025-10-04 06:20:00,2025-10-04 06:17:00,286.53,BEAR,286.32,50.9,83.1,8.5,286.29,286.52,287.22,289.47,-0.2119,-0.2494,0.0375,287.08,285.69,286.3,41.6,5.1,7.9,286.29,286.51,287.2,289.44,-0.1984,-0.2392,0.0408,287.08,285.71,286.88,50.5,79.2,8.2,286.44,286.54,287.2,289.42,-0.1393,-0.2192,0.0799,287.13,285.73,287.03,47.5,54.2,7.8,286.59,286.57,287.19,289.39,-0.0795,-0.1913,0.1117,287.21,285.71,286.56,47.2,48.9,7.6,286.58,286.57,287.18,289.36,-0.0692,-0.1669,0.0976,287.21,285.71,286.57,48.8,63.3,7.1,286.58,286.57,287.17,289.34,-0.0596,-0.1454,0.0858,287.22,285.72,286.76,53.8,100.0,7.3,286.62,286.59,287.16,289.31,-0.0362,-0.1236,0.0874,287.25,285.75
5m,CROSS_BULL,2025-10-04 13:05:00,2025-10-04 13:01:00,282.61,BULL,282.27,40.1,0.0,13.4,282.54,282.9,284.46,286.48,-0.2804,-0.2919,0.0115,283.28,282.2,282.44,42.9,18.3,12.4,282.52,282.87,284.42,286.44,-0.276,-0.2887,0.0127,283.27,282.17,283.68,62.6,100.0,14.0,282.81,282.93,284.41,286.41,-0.1705,-0.2651,0.0945,283.46,282.07,284.45,71.1,100.0,17.3,283.22,283.05,284.41,286.4,-0.0245,-0.217,0.1925,283.85,281.81,283.61,59.0,61.0,19.1,283.32,283.09,284.39,286.37,0.0232,-0.1689,0.1921,283.92,281.78,283.4,58.3,58.6,20.7,283.34,283.11,284.37,286.34,0.0435,-0.1265,0.17,283.98,281.8,283.13,52.1,38.5,21.2,283.29,283.12,284.35,286.31,0.0374,-0.0937,0.1311,284.0,281.81
5m,CROSS_BULL,2025-10-04 17:00:00,2025-10-04 17:00:00,281.19,BEAR,281.3,59.5,87.6,40.7,281.16,281.31,282.93,284.85,-0.2807,-0.4971,0.2164,281.75,279.74,281.44,57.6,82.3,40.5,281.23,281.32,282.9,284.82,-0.229,-0.4435,0.2145,281.8,279.73,281.63,57.0,80.4,41.0,281.33,281.34,282.88,284.79,-0.1707,-0.3889,0.2182,281.89,279.69,282.02,64.0,95.8,40.8,281.5,281.39,282.86,284.76,-0.092,-0.3296,0.2375,282.09,279.65,282.16,72.0,100.0,41.6,281.67,281.45,282.85,284.73,-0.0182,-0.2673,0.2491,282.27,279.66,281.56,59.7,70.5,40.6,281.64,281.46,282.82,284.7,-0.0079,-0.2154,0.2075,282.33,279.72,281.66,67.0,88.0,41.3,281.64,281.48,282.8,284.67,0.0082,-0.1707,0.1789,282.38,279.79
5m,CROSS_BULL,2025-10-04 22:30:00,2025-10-04 22:28:00,283.17,BULL,282.9,40.0,0.0,10.5,283.09,283.17,282.93,283.88,0.0019,0.0876,-0.0856,283.95,282.6,282.95,32.3,0.0,12.0,283.05,283.15,282.93,283.87,-0.0152,0.067,-0.0822,283.93,282.56,283.17,39.2,24.6,12.1,283.08,283.15,282.94,283.87,-0.0108,0.0515,-0.0623,283.93,282.57,283.64,49.8,62.6,12.6,283.22,283.19,282.95,283.86,0.0302,0.0472,-0.017,283.97,282.62,283.4,40.2,32.0,12.7,283.27,283.21,282.96,283.86,0.0428,0.0463,-0.0035,283.94,282.71,283.42,42.5,41.1,12.8,283.3,283.22,282.97,283.86,0.0538,0.0478,0.006,283.95,282.72,283.65,55.3,93.1,13.9,283.39,283.25,282.98,283.85,0.0802,0.0543,0.0259,283.98,282.72
5m,CROSS_BULL,2025-10-05 00:25:00,2025-10-05 00:21:00,283.17,BULL,282.68,41.6,36.3,16.2,282.84,283.02,282.98,283.71,-0.1023,-0.0593,-0.043,283.56,282.54,283.04,51.8,92.8,16.6,282.89,283.02,282.98,283.71,-0.0851,-0.0645,-0.0206,283.51,282.55,283.56,65.7,100.0,20.1,283.06,283.06,282.99,283.71,-0.0291,-0.0574,0.0283,283.54,282.53,283.46,60.7,83.7,23.5,283.16,283.09,283.0,283.7,0.0071,-0.0445,0.0516,283.49,282.57,283.09,52.1,55.8,26.2,283.14,283.09,283.0,283.7,0.0058,-0.0344,0.0402,283.48,282.57,282.69,44.2,30.0,27.6,283.03,283.06,283.0,283.69,-0.0272,-0.033,0.0058,283.48,282.52,281.89,34.9,0.0,27.6,282.74,282.97,282.97,283.67,-0.1165,-0.0497,-0.0668,283.63,282.26
5m,CROSS_BULL,2025-10-05 02:30:00,2025-10-05 02:27:00,282.05,BULL,282.09,56.4,63.7,34.0,282.14,282.23,282.64,283.37,-0.1103,-0.1738,0.0635,282.6,281.22,282.14,58.4,68.8,35.7,282.14,282.22,282.63,283.36,-0.1011,-0.1593,0.0582,282.62,281.23,282.48,72.8,100.0,35.8,282.23,282.24,282.63,283.35,-0.0657,-0.1406,0.0749,282.69,281.23,285.06,86.6,100.0,36.6,282.93,282.46,282.68,283.36,0.1687,-0.0787,0.2474,283.68,280.59,284.94,83.8,94.9,36.8,283.44,282.65,282.72,283.38,0.3408,0.0052,0.3356,284.24,280.43,284.42,74.5,77.6,34.0,283.68,282.78,282.76,283.39,0.4303,0.0902,0.3401,284.56,280.4,285.13,77.6,80.0,31.1,284.04,282.96,282.81,283.41,0.5521,0.1826,0.3695,285.01,280.28
5m,CROSS_BULL,2025-10-05 14:15:00,2025-10-05 14:12:00,288.3,BEAR,287.86,55.3,100.0,28.1,287.56,287.93,289.14,288.26,-0.3716,-0.4848,0.1131,288.09,287.06,288.28,62.3,100.0,25.8,287.74,287.96,289.12,288.26,-0.2893,-0.4457,0.1564,288.21,287.0,288.64,59.7,90.1,23.6,287.97,288.01,289.11,288.27,-0.1927,-0.3951,0.2024,288.35,286.91,288.22,54.3,63.3,21.2,288.03,288.03,289.09,288.27,-0.1484,-0.3457,0.1973,288.42,286.91,288.4,62.0,98.3,20.0,288.12,288.05,289.08,288.27,-0.0976,-0.2961,0.1985,288.52,286.92,289.07,66.4,100.0,21.0,288.36,288.13,289.08,288.28,-0.0033,-0.2375,0.2343,288.79,286.79,288.43,59.7,74.3,22.9,288.38,288.16,289.07,288.28,0.0196,-0.1861,0.2057,288.87,286.82
5m,CROSS_BULL,2025-10-05 14:50:00,2025-10-05 14:46:00,287.56,BEAR,287.84,51.3,42.0,22.2,288.24,288.13,289.04,288.27,-0.0097,-0.1508,0.1411,288.86,286.88,287.89,53.4,50.0,22.0,288.15,288.11,289.02,288.27,-0.0286,-0.1264,0.0978,288.86,286.89,287.92,52.5,46.6,22.4,288.1,288.1,289.0,288.27,-0.0407,-0.1092,0.0686,288.86,286.89,288.26,57.9,58.9,22.4,288.14,288.11,288.98,288.27,-0.0226,-0.0919,0.0693,288.89,286.94,288.66,58.6,62.3,23.4,288.27,288.15,288.98,288.27,0.0238,-0.0688,0.0926,288.99,286.96,288.94,67.8,100.0,23.9,288.44,288.21,288.97,288.28,0.0822,-0.0386,0.1208,289.11,286.98,288.63,61.9,64.2,23.9,288.48,288.24,288.97,288.28,0.1023,-0.0104,0.1127,289.18,287.01
5m,CROSS_BULL,2025-10-05 16:55:00,2025-10-05 16:55:00,288.21,BULL,289.04,53.3,41.8,11.7,289.65,289.38,289.19,288.52,0.2789,0.3585,-0.0796,291.01,288.22,288.37,48.5,19.4,11.3,289.33,289.3,289.18,288.52,0.1571,0.3182,-0.1611,291.04,288.17,288.96,51.5,33.5,11.4,289.24,289.27,289.17,288.52,0.107,0.276,-0.169,291.05,288.11,289.76,54.4,46.6,10.1,289.37,289.31,289.18,288.54,0.1303,0.2469,-0.1165,290.92,288.15,290.64,55.1,50.0,8.5,289.69,289.41,289.21,288.56,0.2173,0.241,-0.0236,291.0,288.12,290.07,49.5,24.7,6.7,289.78,289.46,289.23,288.57,0.2375,0.2403,-0.0027,291.05,288.14,289.56,45.0,3.5,7.5,289.73,289.47,289.24,288.58,0.21,0.2342,-0.0242,291.02,288.25
5m,CROSS_BULL,2025-10-05 23:00:00,2025-10-05 22:56:00,285.15,BEAR,284.91,52.2,83.7,45.3,284.93,285.03,286.44,287.14,-0.1114,-0.1537,0.0422,285.46,284.39,285.01,48.0,61.5,43.5,284.95,285.03,286.41,287.11,-0.0971,-0.1424,0.0452,285.46,284.41,285.3,51.5,65.2,43.1,285.04,285.05,286.39,287.1,-0.0617,-0.1262,0.0646,285.51,284.41,285.61,57.8,100.0,43.8,285.18,285.09,286.37,287.08,-0.0084,-0.1027,0.0942,285.61,284.37,285.79,57.8,100.0,44.8,285.33,285.15,286.36,287.07,0.0477,-0.0726,0.1203,285.75,284.32,285.59,51.2,49.4,43.3,285.4,285.18,286.34,287.05,0.0752,-0.043,0.1182,285.8,284.36,285.69,58.5,100.0,41.4,285.47,285.22,286.33,287.04,0.1039,-0.0137,0.1175,285.88,284.38
