Time,Price,Mode,Side,Decision,Reason,Ind_ADX_1H,Ind_Stoch_1H,Ind_Trend_4H,Ind_EMA5m_Diff
2025-10-08 09:26:00,277.25,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,73.2,100.0,BAJISTA,0.0262
2025-10-08 19:10:00,282.99,TREND_FOLLOWING,SHORT,REJECTED,Contra Tendencia 4H (ALCISTA),25.0,82.2,ALCISTA,-0.0121
2025-10-08 19:30:00,283.48,TREND_FOLLOWING,LONG,REJECTED,Stoch 1H Agotado (82.2),25.0,82.2,ALCISTA,0.0262
2025-10-08 23:10:00,285.74,TREND_FOLLOWING,SHORT,REJECTED,Contra Tendencia 4H (ALCISTA),27.7,70.2,ALCISTA,-0.0045
2025-10-08 23:15:00,285.93,TREND_FOLLOWING,LONG,AUTHORIZED,Cruce EMAs 5m + Trend Alineada,27.7,70.2,ALCISTA,0.0654
2025-10-09 08:15:00,277.3,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,31.1,0.0,BAJISTA,-1.0987
2025-10-09 17:00:00,269.06,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,54.3,10.0,BAJISTA,-0.9947
2025-10-10 03:28:00,276.15,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,49.1,100.0,BAJISTA,0.2755
2025-10-10 15:25:00,267.42,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,49.5,0.0,BAJISTA,-3.9328
2025-10-10 20:52:00,255.48,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,56.5,0.0,BAJISTA,-1.4151
2025-10-10 20:59:00,244.82,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,56.5,0.0,BAJISTA,-3.5266
2025-10-10 21:14:00,225.28,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,59.0,0.0,BAJISTA,-9.2052
2025-10-10 21:22:00,173.83,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-33.9652
2025-10-10 21:23:00,175.18,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-33.9652
2025-10-10 21:24:00,176.47,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-33.9652
2025-10-10 21:27:00,171.61,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-37.2125
2025-10-10 21:28:00,171.18,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-37.2125
2025-10-10 21:30:00,174.75,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-36.9139
2025-10-10 21:31:00,171.61,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-36.9139
2025-10-10 21:32:00,175.19,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-36.9139
2025-10-10 21:33:00,177.7,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-36.9139
2025-10-10 21:34:00,181.42,SNIPER_FVG,LONG,REJECTED,FVG Contra Tendencia 4H,59.0,0.0,BAJISTA,-36.9139
2025-10-10 21:43:00,204.96,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,59.0,0.0,BAJISTA,-29.4488
2025-10-10 21:47:00,210.23,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,59.0,0.0,BAJISTA,-23.7928
2025-10-10 21:51:00,221.79,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,59.0,0.0,BAJISTA,-19.2413
2025-10-10 21:59:00,220.13,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,59.0,0.0,BAJISTA,-14.9951
2025-10-10 22:03:00,211.47,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,61.8,0.0,BAJISTA,-13.6241
2025-10-10 22:16:00,220.0,SNIPER_FVG,SHORT,AUTHORIZED,FVG Validado + Trend,61.8,0.0,BAJISTA,-7.518
