Time,Price,Signal_Mode,Side,4H_Trend,1H_Stoch,1H_ADX,5m_EMA_Diff,Decision,Reason
2025-10-08 09:01:00,278.33,SNIPER_FVG,SHORT,BAJISTA,100.0,73.2,0.0,REJECTED,Falta Gatillo RSI 1m
2025-10-08 09:02:00,278.55,SNIPER_FVG,SHORT,BAJISTA,100.0,73.2,0.0,REJECTED,Falta Gatillo RSI 1m
2025-10-08 09:03:00,278.36,SNIPER_FVG,SHORT,BAJISTA,100.0,73.2,0.0,REJECTED,Falta Gatillo RSI 1m
2025-10-08 09:04:00,278.35,SNIPER_FVG,SHORT,BAJISTA,100.0,73.2,0.0,REJECTED,Falta Gatillo RSI 1m
2025-10-08 09:05:00,278.28,SNIPER_FVG,SHORT,BAJISTA,100.0,73.2,0.0,REJECTED,Falta Gatillo RSI 1m
2025-10-08 09:06:00,278.37,SNIPER_FVG,SHORT,BAJISTA,100.0,73.2,0.0,REJECTED,Falta Gatillo RSI 1m
2025-10-08 09:07:00,278.36,SNIPER_FVG,SHORT,BAJISTA,100.0,73.2,0.0,REJECTED,Falta Gatillo RSI 1m
2025-10-08 09:15:00,277.72,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.2,REJECTED,Contra Tendencia 4H
2025-10-08 09:16:00,277.7,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.2,REJECTED,Contra Tendencia 4H
2025-10-08 09:17:00,277.65,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.2,REJECTED,Contra Tendencia 4H
2025-10-08 09:18:00,277.76,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.2,REJECTED,Contra Tendencia 4H
2025-10-08 09:19:00,277.79,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.2,REJECTED,Contra Tendencia 4H
2025-10-08 09:20:00,277.86,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.12,REJECTED,Contra Tendencia 4H
2025-10-08 09:21:00,277.67,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.12,REJECTED,Contra Tendencia 4H
2025-10-08 09:22:00,277.8,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.12,REJECTED,Contra Tendencia 4H
2025-10-08 09:23:00,277.9,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.12,REJECTED,Contra Tendencia 4H
2025-10-08 09:24:00,277.79,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.12,REJECTED,Contra Tendencia 4H
2025-10-08 09:25:00,277.56,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.03,REJECTED,Contra Tendencia 4H
2025-10-08 09:26:00,277.25,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.03,REJECTED,Contra Tendencia 4H
2025-10-08 09:27:00,277.28,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.03,REJECTED,Contra Tendencia 4H
2025-10-08 09:28:00,277.5,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.03,REJECTED,Contra Tendencia 4H
2025-10-08 09:29:00,277.56,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.03,REJECTED,Contra Tendencia 4H
2025-10-08 09:30:00,277.59,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.02,REJECTED,Contra Tendencia 4H
2025-10-08 09:31:00,277.6,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.02,REJECTED,Contra Tendencia 4H
2025-10-08 09:32:00,277.94,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.02,REJECTED,Contra Tendencia 4H
2025-10-08 09:33:00,277.9,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.02,REJECTED,Contra Tendencia 4H
2025-10-08 09:34:00,277.94,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.02,REJECTED,Contra Tendencia 4H
2025-10-08 09:35:00,278.14,TREND_FOLLOWING,LONG,BAJISTA,100.0,73.2,0.12,REJECTED,Contra Tendencia 4H
2025-10-08 09:36:00,278.25,SNIPER_FVG,SHORT,BAJISTA,100.0,73.2,0.12,AUTHORIZED,FVG + Filtros OK + Gatillo OK
2025-10-08 14:15:00,282.66,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:23:00,283.13,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:24:00,283.2,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:25:00,283.01,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:28:00,282.98,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:30:00,283.0,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:31:00,283.18,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:35:00,281.7,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:36:00,281.76,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:37:00,281.59,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:38:00,281.88,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:39:00,281.74,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:40:00,281.49,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:41:00,281.28,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:42:00,281.06,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:43:00,281.06,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:44:00,281.12,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:45:00,280.95,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:46:00,280.79,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:47:00,280.97,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:48:00,281.39,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:49:00,281.2,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.0,REJECTED,Contra Tendencia 4H
2025-10-08 14:50:00,280.88,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.22,REJECTED,Contra Tendencia 4H
2025-10-08 14:51:00,280.74,SNIPER_FVG,LONG,BAJISTA,81.0,44.7,0.22,REJECTED,Contra Tendencia 4H
