Entry_Time,Exit_Time,Mode,Side,Result,PnL
2025-10-05 14:15:00,2025-10-05 19:58:00,TREND_FOLLOWING,LONG,LOSS,-11.25
2025-10-07 10:10:00,2025-10-07 14:09:00,TREND_FOLLOWING,LONG,LOSS,-11.12
2025-10-07 16:24:00,2025-10-08 17:24:00,SNIPER_FVG,SHORT,LOSS,-18.33
2025-10-08 23:10:00,2025-10-09 08:22:00,TREND_FOLLOWING,SHORT,WIN,21.58
2025-10-09 08:23:00,2025-10-10 15:24:00,SNIPER_FVG,SHORT,WIN,22.07
2025-10-10 15:25:00,2025-10-10 19:20:00,SNIPER_FVG,SHORT,WIN,22.57
2025-10-10 20:52:00,2025-10-10 20:56:00,SNIPER_FVG,SHORT,WIN,23.07
2025-10-10 20:59:00,2025-10-10 21:13:00,SNIPER_FVG,SHORT,WIN,23.59
2025-10-10 21:14:00,2025-10-10 21:16:00,SNIPER_FVG,SHORT,WIN,24.12
2025-10-10 21:43:00,2025-10-10 21:46:00,SNIPER_FVG,SHORT,LOSS,-20.56
2025-10-10 21:47:00,2025-10-10 21:49:00,SNIPER_FVG,SHORT,LOSS,-20.17
2025-10-10 21:51:00,2025-10-10 21:56:00,SNIPER_FVG,SHORT,WIN,23.75
2025-10-10 21:59:00,2025-10-10 22:02:00,SNIPER_FVG,SHORT,WIN,24.28
2025-10-10 22:03:00,2025-10-10 22:10:00,SNIPER_FVG,SHORT,LOSS,-20.69
2025-10-10 22:16:00,2025-10-10 22:23:00,SNIPER_FVG,SHORT,WIN,24.37
2025-10-10 22:25:00,2025-10-10 22:39:00,SNIPER_FVG,SHORT,LOSS,-20.76
2025-10-10 22:43:00,2025-10-10 23:25:00,SNIPER_FVG,SHORT,LOSS,-20.37
2025-10-10 23:27:00,2025-10-11 01:44:00,SNIPER_FVG,SHORT,WIN,23.99
2025-10-11 01:47:00,2025-10-11 02:18:00,SNIPER_FVG,SHORT,LOSS,-20.44
2025-10-11 02:19:00,2025-10-11 02:35:00,SNIPER_FVG,SHORT,LOSS,-20.06
2025-10-11 03:09:00,2025-10-11 06:21:00,SNIPER_FVG,SHORT,LOSS,-19.68
2025-10-11 07:45:00,2025-10-11 08:24:00,TREND_FOLLOWING,SHORT,LOSS,-11.59
2025-10-11 09:07:00,2025-10-11 14:25:00,SNIPER_FVG,SHORT,WIN,22.91
2025-10-11 16:09:00,2025-10-11 19:21:00,SNIPER_FVG,SHORT,WIN,23.43
2025-10-11 20:27:00,2025-10-12 08:14:00,SNIPER_FVG,SHORT,LOSS,-19.96
2025-10-12 08:45:00,2025-10-12 14:48:00,TREND_FOLLOWING,SHORT,LOSS,-11.75
2025-10-12 14:52:00,2025-10-12 16:02:00,SNIPER_FVG,SHORT,LOSS,-19.37
2025-10-12 17:13:00,2025-10-13 18:27:00,SNIPER_FVG,SHORT,LOSS,-19.01
2025-10-13 23:50:00,2025-10-14 04:37:00,TREND_FOLLOWING,SHORT,WIN,22.38
2025-10-14 04:38:00,2025-10-14 06:42:00,SNIPER_FVG,SHORT,WIN,22.88
2025-10-14 06:53:00,2025-10-14 16:12:00,SNIPER_FVG,SHORT,LOSS,-19.5
2025-10-14 16:16:00,2025-10-15 08:11:00,SNIPER_FVG,SHORT,LOSS,-19.13
2025-10-15 09:25:00,2025-10-15 13:30:00,TREND_FOLLOWING,SHORT,WIN,22.53
2025-10-15 15:16:00,2025-10-16 09:34:00,SNIPER_FVG,SHORT,WIN,23.04
